SessionID,MentorshipID,Timestamp,InstructionType,Location
0,1010,1970-01-01 0:00:01,IN-PERSON,Gorham
1,1111,1976-03-09 13:23:07,IN-PERSON,"Portland, Luther Bonney 202"
2,1212,1982-05-17 2:46:13,IN-PERSON, 
3,1313,1988-07-23 16:09:19,IN-PERSON,.
4,1414,1994-09-30 5:32:25,IN-PERSON,"Portland, Payson-Smith 301"
5,1515,2000-12-06 18:55:31,IN-PERSON,"Gorham, Lower Brooks"
6,1616,2007-02-13 8:18:37,VIRTUAL, 
7,1717,2013-04-21 21:41:43,IN-PERSON,"Portland, Abromson lounge"
8,1818,2019-06-29 11:04:49,VIRTUAL, 
9,1919,2025-09-05 0:27:55,IN-PERSON,"Portland, Science Building C-245"
10,1818,2031-11-12 13:51:01,VIRTUAL , 
11,1919,1/19/2038 3:14:07,VIRTUAL, 
