"CourseName","Department"
"ACC 105 - Show Me the Money","Accounting"
"ACC 110 - Financial Accounting Information for Decision Making","Accounting"
"ACC 211 - Managerial Accounting Information for Decision Making","Accounting"
"ACC 295 - Internship in Accounting","Accounting"
"ACC 301 - Financial Reporting I","Accounting"
"ACC 302 - Financial Reporting II","Accounting"
"ACC 315 - Estate Planning","Accounting"
"ACC 329 - Accounting Information Systems","Accounting"
"ACC 395 - Internship I","Accounting"
"ACC 396 - Internship II","Accounting"
"ACC 405 - Cost Management Systems","Accounting"
"ACC 410 - Auditing and Assurance","Accounting"
"ACC 413 - Concepts and Strategies of Taxation","Accounting"
"ACC 416 - Governmental and Nonprofit Accounting","Accounting"
"ACC 418 - Principles of Fraud Examination","Accounting"
"ACC 490 - Independent Study in Accounting","Accounting"
"ACC 499 - Special Topics in Accounting","Accounting"
"FIN 201 - Personal Finance","Accounting & Finance"
"FIN 295 - Internship in Finance","Accounting & Finance"
"FIN 299 - Special Topics in Finance","Accounting & Finance"
"FIN 315 - Estate Planning","Accounting & Finance"
"FIN 320 - Basic Financial Management","Accounting & Finance"
"FIN 321 - Personal Financial Planning","Accounting & Finance"
"FIN 323 - Financial Engineering","Accounting & Finance"
"FIN 326 - Financial Modeling","Accounting & Finance"
"FIN 327 - Investment Management","Accounting & Finance"
"FIN 328 - Financial Markets and Institutions","Accounting & Finance"
"FIN 330 - International Financial Management","Accounting & Finance"
"FIN 395 - Internship I","Accounting & Finance"
"FIN 396 - Internship II","Accounting & Finance"
"FIN 399 - Special Topics in Finance","Accounting & Finance"
"FIN 490 - Independent Study in Finance","Accounting & Finance"
"AFL 001 - Leadership Laboratory","Air Force ROTC"
"AFL 115 - Heritage & Values of USAF I","Air Force ROTC"
"AFL 116 - Heritage & Values of USAF II","Air Force ROTC"
"AFL 241 - Team and Leadership Fundamentals I","Air Force ROTC"
"AFL 242 - Team and Leadership Fundamentals II","Air Force ROTC"
"AFL 371 - Leading People and Effective Communication I","Air Force ROTC"
"AFL 372 - Leading People and Effective Communication II","Air Force ROTC"
"AFL 481 - National Security Affairs/Preparation for Active Duty I","Air Force ROTC"
"AFL 482 - National Security Affairs/Preparation for Active Duty II","Air Force ROTC"
"ASL 101 - Beginning American Sign Language I","American Sign Language"
"ASL 102 - Beginning American Sign Language II","American Sign Language"
"ASL 150 - Language Table","American Sign Language"
"ASL 201 - Intermediate American Sign Language I","American Sign Language"
"ASL 202 - Intermediate American Sign Language II","American Sign Language"
"ASL 305 - Practical American Sign Language I","American Sign Language"
"ASL 306 - Practical American Sign Language II","American Sign Language"
"ASL 398 - Independent Study","American Sign Language"
"ASL 401 - Advanced American Sign Language I","American Sign Language"
"ASL 402 - Advanced American Sign Language II","American Sign Language"
"ASL 415 - ASL Literature in ASL","American Sign Language"
"ASL 416 - ASL Linguistics in ASL","American Sign Language"
"ASL 418 - Women & Gender in the Deaf* World","American Sign Language"
"ANT 101 - Anthropology: The Cultural View","Anthropology"
"ANT 102 - Biological Anthropology","Anthropology"
"ANT 103 - Introduction to Archaeology","Anthropology"
"ANT 104 - Archaeological Science","Anthropology"
"ANT 105 - Society, Environment, and Change","Anthropology"
"ANT 192 - Introduction to Native American and Indigenous Studies (NAIS)","Anthropology"
"ANT 201 - Human Origins","Anthropology"
"ANT 202 - Origins of Civilization","Anthropology"
"ANT 204 - The Gulf of Maine: Archaeology, Ecology, and Environmental Change","Anthropology"
"ANT 213 - Human Ecology","Anthropology"
"ANT 220 - Indigenous Communities of North America","Anthropology"
"ANT 230 - Hunters and Gatherers","Anthropology"
"ANT 232 - The Anthropology of Sex and Gender","Anthropology"
"ANT 242 - Forensic Anthropology","Anthropology"
"ANT 255 - Cultures of Africa","Anthropology"
"ANT 262 - Women, Arts & Global Tourism","Anthropology"
"ANT 295 - Topics in Anthropology","Anthropology"
"ANT 306 - Analysis of Archaeological Materials","Anthropology"
"ANT 315 - Ethnography: Methods, Ethics, and Practice","Anthropology"
"ANT 320 - Anthropology and the Museum","Anthropology"
"ANT 350 - International Development","Anthropology"
"ANT 360 - Public Archaeology","Anthropology"
"ANT 380 - African American Historical Archaeology","Anthropology"
"ANT 395 - Topics in Anthropology","Anthropology"
"ANT 410 - Japan: Archaeology, Environmental History and Multicultural Perspectives","Anthropology"
"ANT 495 - Topics in Anthropology","Anthropology"
"ARA 101 - Beginning Arabic I","Arabic"
"ARA 102 - Beginning Arabic II","Arabic"
"ARA 201 - Intermediate Arabic I","Arabic"
"ART 124 - Cre8: The Art of Creativity","Art"
"ART 130 - Clay for Everyone","Art"
"ART 141 - Surface, Space, Time (2D)","Art"
"ART 142 - Surface, Space, Time (3D)","Art"
"ART 151 - Fundamentals of Perceptual Drawing","Art"
"ART 170 - The Power of Amateur Photography","Art"
"ART 222 - Digital Art & Design","Art"
"ART 231 - Introduction to Ceramics I","Art"
"ART 232 - Introduction to Ceramics II","Art"
"ART 241 - Introduction to The Visual Book","Art"
"ART 251 - Drawing: Media and Strategies","Art"
"ART 261 - Introduction to Painting","Art"
"ART 271 - Photography: Analog to Digital","Art"
"ART 281 - Introduction to Printmaking: Intaglio and Relief","Art"
"ART 291 - Sculpture: Additive and Subtractive Processes","Art"
"ART 292 - Sculpture: Altered and Constructed Processes","Art"
"ART 311 - Art and Entrepreneurship","Art"
"ART 312 - Topics in Studio Art","Art"
"ART 321 - Exploring Time-Based Art & Design","Art"
"ART 332 - Intermediate Ceramics","Art"
"ART 341 - The Visual Book II: Historical Influences on Contemporary Artists’ Books","Art"
"ART 342 - Summer Book Arts and Print","Art"
"ART 352 - Experimental Drawing","Art"
"ART 361 - Intermediate Drawing and Painting: The Figure","Art"
"ART 372 - Digital Photography","Art"
"ART 382 - Experimental Printmaking","Art"
"ART 393 - Topics in Sculpture","Art"
"ART 400 - Internship in the Visual Arts","Art"
"ART 401 - Senior Seminar in Studio Art","Art"
"ART 407 - Advanced Problems in Art","Art"
"ART 408 - Independent Study in Art","Art"
"ART 412 - Topics in Studio Art","Art"
"ART 431 - Advanced Ceramics I","Art"
"ART 432 - Advanced Ceramics II","Art"
"ART 441 - Advanced Studio in Book Arts","Art"
