SessionID,MentorshipID,Timestamp,InstructionType,Location
0,1010,2026-04-10 14:00:00,IN-PERSON,Gorham
1,1111,2026-04-12 10:30:00,IN-PERSON,"Portland, Luther Bonney 202"
2,1212,2026-04-15 10:00:00,IN-PERSON, 
3,1313,2026-04-17 13:00:00,IN-PERSON,.
4,1414,2026-04-18 14:30:00,IN-PERSON,"Portland, Payson-Smith 301"
5,1515,2026-04-24 16:00:00,IN-PERSON,"Gorham, Lower Brooks"
6,1616,2026-04-28 10:15:00,VIRTUAL, 
7,1717,2026-04-30 14:00:00,IN-PERSON,"Portland, Abromson lounge"
8,1818,2026-05-02 11:45:00,VIRTUAL, 
9,1919,2026-05-05 13:30:00,IN-PERSON,"Portland, Science Building C-245"
10,1818,2026-05-14 10:00:00,VIRTUAL , 
,,,, 
